Date and Time,Latitude,Longitude,Magnitude,Depth
 17-OCT-2019 06:35:03 , -23.75 , -68.99 ,4.2 ,92 
 17-OCT-2019 03:26:43 , 1.77 , -90.81 ,4.8 ,10 
 17-OCT-2019 01:56:32 , 3.36 , 126.83 ,4.7 ,35 
 17-OCT-2019 01:28:56 , 5.17 , 126.23 ,5.0 ,75 
 16-OCT-2019 23:59:53 , -47.80 , -9.85 ,5.0 ,10 
 16-OCT-2019 21:10:18 , -7.53 , 127.88 ,4.9 ,10 
 16-OCT-2019 20:53:53 , 7.29 , 126.56 ,5.1 ,129 
 16-OCT-2019 20:31:59 , -40.33 , -91.81 ,4.7 ,10 
 16-OCT-2019 19:17:19 , -29.17 , -12.95 ,4.8 ,10 
 16-OCT-2019 18:45:42 , 23.16 , 94.22 ,4.4 ,80 
 16-OCT-2019 18:44:31 , 24.61 , 124.89 ,4.2 ,35 
 16-OCT-2019 16:18:41 , -6.30 , 130.87 ,4.5 ,110 
 16-OCT-2019 15:10:53 , 17.28 , 147.71 ,4.9 ,10 
 16-OCT-2019 13:51:28 , -22.40 , -66.11 ,4.5 ,256 
 16-OCT-2019 12:21:01 , 6.64 , 125.27 ,4.9 ,10 
 16-OCT-2019 12:09:30 , 6.73 , 125.01 ,5.3 ,10 
 16-OCT-2019 11:37:06 , 6.71 , 125.00 , 6.4 ,14 
 16-OCT-2019 08:49:04 , 51.34 , -178.73 ,4.5 ,10 
 16-OCT-2019 07:30:41 , 1.33 , 97.17 ,4.6 ,31 
 16-OCT-2019 06:40:40 , -21.23 , -68.78 ,4.2 ,117 
 16-OCT-2019 02:25:27 , -3.27 , 130.69 ,4.7 ,10 
 16-OCT-2019 02:18:21 , 1.32 , 96.98 ,5.0 ,10 
 16-OCT-2019 01:46:41 , 6.14 , 93.95 ,4.1 ,40 
 16-OCT-2019 01:07:06 , 36.09 , 142.20 ,4.5 ,10 
 15-OCT-2019 22:41:45 , -17.76 , -178.64 ,4.5 ,563 
 15-OCT-2019 19:56:47 , 4.77 , -82.57 ,5.1 ,10 
 15-OCT-2019 19:42:30 , 36.65 , -121.27 ,4.71 ,10 
 15-OCT-2019 18:56:48 , 1.21 , 96.92 ,4.7 ,10 
 15-OCT-2019 17:36:01 , -20.15 , -173.34 ,4.9 ,10 
 15-OCT-2019 17:17:06 , -7.20 , 129.16 ,4.4 ,125 
 15-OCT-2019 16:50:54 , -15.32 , -177.11 ,4.6 ,10 
 15-OCT-2019 16:40:56 , 56.39 , -148.71 ,4.2 ,10 
 15-OCT-2019 16:36:42 , -62.39 , 155.82 ,4.5 ,10 
 15-OCT-2019 15:56:21 , 0.39 , 126.42 ,4.6 ,19 
 15-OCT-2019 15:50:38 , 30.55 , 142.54 ,4.6 ,10 
 15-OCT-2019 15:37:58 , -5.61 , 151.96 ,4.7 ,35 
 15-OCT-2019 14:57:27 , 41.99 , 42.93 ,4.4 ,10 
 15-OCT-2019 14:42:03 , -57.04 , -25.09 ,4.9 ,10 
 15-OCT-2019 12:37:10 , 56.37 , -148.65 ,4.0 ,10 
 15-OCT-2019 11:54:53 , 39.28 , 17.07 ,4.5 ,10 
 15-OCT-2019 10:45:13 , -14.39 , 166.62 ,5.1 ,10 
 15-OCT-2019 05:33:42 , 37.94 , -122.06 ,4.5 ,14 
 15-OCT-2019 03:53:26 , -55.66 , -26.89 ,4.9 ,10 
 15-OCT-2019 03:00:14 , -4.46 , 101.09 ,5.1 ,10 
 15-OCT-2019 01:37:35 , 5.70 , 126.71 ,4.5 ,76 
 15-OCT-2019 00:42:47 , -55.35 , -123.65 ,4.6 ,10 
 14-OCT-2019 23:55:55 , 6.80 , 124.91 ,4.8 ,10 
 14-OCT-2019 23:18:45 , -6.31 , 130.14 ,4.5 ,151 
 14-OCT-2019 23:14:51 , 44.62 , 146.70 ,5.7 ,93 
 14-OCT-2019 22:57:09 , -55.65 , -26.95 ,4.5 ,10 
 14-OCT-2019 22:41:43 , 54.42 , 168.56 ,4.2 ,10 
 14-OCT-2019 22:34:13 , -4.52 , 101.13 ,4.7 ,10 
 14-OCT-2019 22:23:54 , -4.48 , 101.19 ,5.9 ,19 
 14-OCT-2019 22:00:08 , -21.14 , -173.79 ,5.1 ,10 
 14-OCT-2019 21:33:22 , -55.80 , -27.08 ,5.5 ,19 
 14-OCT-2019 21:26:32 , -9.01 , 128.58 ,4.3 ,10 
 14-OCT-2019 21:07:12 , -6.02 , 146.90 ,5.0 ,99 
 14-OCT-2019 20:42:44 , 38.90 , 14.79 ,4.3 ,278 
 14-OCT-2019 19:53:04 , -22.96 , 179.32 ,4.3 ,566 
 14-OCT-2019 19:28:19 , 10.51 , -62.45 ,4.9 ,93 
